,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
2200770,2200770,DE,2020-01-01,C1,0.0,,The existing coding on C1 as 1G is appropriate  https://web.archive.org/web/20201021183821/https://schulen.de/blog/news/liveticker-auswirkungen-des-coronavirus-auf-deutsche-schulen/  There are no new restrictions implemented in the last week.  New restrictions are announced which will take effect only on 2nd Nov 2020 1. http://web.archive.org/web/20201029223105/https://www.bundesregierung.de/breg-en/news/bund-laender-beschluss-1805366 2. https://web.archive.org/web/20201029223527/https://www.deutschland.de/en/news/coronavirus-in-germany-informations,OxCGRT
2200771,2200771,DE,2020-01-01,C2,0.0,,,OxCGRT
2200772,2200772,DE,2020-01-01,C3,0.0,,,OxCGRT
2200773,2200773,DE,2020-01-01,C4,0.0,,,OxCGRT
2200774,2200774,DE,2020-01-01,C5,0.0,,,OxCGRT
2200775,2200775,DE,2020-01-01,C6,0.0,,,OxCGRT
2200776,2200776,DE,2020-01-01,C7,0.0,,,OxCGRT
2200777,2200777,DE,2020-01-01,C8,0.0,,,OxCGRT
2200778,2200778,DE,2020-01-01,Cases,,,,OxCGRT
2200779,2200779,DE,2020-01-01,Deaths,,,,OxCGRT
2200780,2200780,DE,2020-01-01,E1,0.0,,,OxCGRT
2200781,2200781,DE,2020-01-01,E2,0.0,,,OxCGRT
2200782,2200782,DE,2020-01-01,E3,0.0,,,OxCGRT
2200783,2200783,DE,2020-01-01,E4,0.0,,,OxCGRT
2200784,2200784,DE,2020-01-01,H1,0.0,,,OxCGRT
2200785,2200785,DE,2020-01-01,H2,0.0,,,OxCGRT
2200786,2200786,DE,2020-01-01,H3,0.0,,,OxCGRT
2200787,2200787,DE,2020-01-01,H4,0.0,,,OxCGRT
2200788,2200788,DE,2020-01-01,H5,0.0,,,OxCGRT
2200789,2200789,DE,2020-01-01,H6,0.0,,,OxCGRT
2200790,2200790,DE,2020-01-01,H7,0.0,,,OxCGRT
2200791,2200791,DE,2020-01-01,H8,0.0,,,OxCGRT
2200792,2200792,DE,2020-01-01,I1,0.0,,,OxCGRT
2200793,2200793,DE,2020-01-01,I1D,0.0,,,OxCGRT
2200794,2200794,DE,2020-01-01,I2,0.0,,,OxCGRT
2200795,2200795,DE,2020-01-01,I2D,0.0,,,OxCGRT
2200796,2200796,DE,2020-01-01,I3,0.0,,,OxCGRT
2200797,2200797,DE,2020-01-01,I3D,0.0,,,OxCGRT
2200798,2200798,DE,2020-01-01,I4,0.0,,,OxCGRT
2200799,2200799,DE,2020-01-01,I4D,0.0,,,OxCGRT
2200800,2200800,DE,2020-01-01,I4L,0.0,,,OxCGRT
2200801,2200801,DE,2020-01-01,I4LD,0.0,,,OxCGRT
2200802,2200802,DE,2020-01-01,M1,,,,OxCGRT
2200803,2200803,DE,2020-01-02,C1,0.0,,,OxCGRT
2200804,2200804,DE,2020-01-02,C2,0.0,,,OxCGRT
2200805,2200805,DE,2020-01-02,C3,0.0,,,OxCGRT
2200806,2200806,DE,2020-01-02,C4,0.0,,,OxCGRT
2200807,2200807,DE,2020-01-02,C5,0.0,,,OxCGRT
2200808,2200808,DE,2020-01-02,C6,0.0,,,OxCGRT
2200809,2200809,DE,2020-01-02,C7,0.0,,,OxCGRT
2200810,2200810,DE,2020-01-02,C8,0.0,,,OxCGRT
2200811,2200811,DE,2020-01-02,Cases,,,,OxCGRT
2200812,2200812,DE,2020-01-02,Deaths,,,,OxCGRT
2200813,2200813,DE,2020-01-02,E1,0.0,,,OxCGRT
2200814,2200814,DE,2020-01-02,E2,0.0,,,OxCGRT
2200815,2200815,DE,2020-01-02,E3,0.0,,,OxCGRT
2200816,2200816,DE,2020-01-02,E4,0.0,,,OxCGRT
2200817,2200817,DE,2020-01-02,H1,0.0,,,OxCGRT
2200818,2200818,DE,2020-01-02,H2,0.0,,,OxCGRT
2200819,2200819,DE,2020-01-02,H3,0.0,,,OxCGRT
2200820,2200820,DE,2020-01-02,H4,0.0,,,OxCGRT
2200821,2200821,DE,2020-01-02,H5,0.0,,,OxCGRT
2200822,2200822,DE,2020-01-02,H6,0.0,,,OxCGRT
2200823,2200823,DE,2020-01-02,H7,0.0,,,OxCGRT
2200824,2200824,DE,2020-01-02,H8,0.0,,,OxCGRT
2200825,2200825,DE,2020-01-02,I1,0.0,,,OxCGRT
2200826,2200826,DE,2020-01-02,I1D,0.0,,,OxCGRT
2200827,2200827,DE,2020-01-02,I2,0.0,,,OxCGRT
