,Unnamed: 0,ID,Date,Cases,Cases_New,Type,Age,Sex,Source
7260986,7260986,ES,2020-01-03,40.0,40.0,Active,Total,Total,JRC
7260987,7260987,ES,2020-01-03,40.0,40.0,Confirmed,Total,Total,JRC
7260988,7260988,ES,2020-01-03,1.0,1.0,Deaths,Total,Total,JRC
7260989,7260989,ES,2020-01-03,0.0,0.0,Hospitalized,Total,Total,JRC
7260990,7260990,ES,2020-01-03,7.0,7.0,ICU,Total,Total,JRC
7260991,7260991,ES,2020-01-03,24.0,24.0,Recovered,Total,Total,JRC
7260992,7260992,ES,2020-01-04,40.0,0.0,Active,Total,Total,JRC
7260993,7260993,ES,2020-01-04,40.0,0.0,Confirmed,Total,Total,JRC
7260994,7260994,ES,2020-01-04,1.0,0.0,Deaths,Total,Total,JRC
7260995,7260995,ES,2020-01-04,0.0,0.0,Hospitalized,Total,Total,JRC
7260996,7260996,ES,2020-01-04,7.0,0.0,ICU,Total,Total,JRC
7260997,7260997,ES,2020-01-04,24.0,0.0,Recovered,Total,Total,JRC
7260998,7260998,ES,2020-01-05,40.0,0.0,Active,Total,Total,JRC
7260999,7260999,ES,2020-01-05,40.0,0.0,Confirmed,Total,Total,JRC
7261000,7261000,ES,2020-01-05,1.0,0.0,Deaths,Total,Total,JRC
7261001,7261001,ES,2020-01-05,0.0,0.0,Hospitalized,Total,Total,JRC
7261002,7261002,ES,2020-01-05,7.0,0.0,ICU,Total,Total,JRC
7261003,7261003,ES,2020-01-05,24.0,0.0,Recovered,Total,Total,JRC
7261004,7261004,ES,2020-01-06,40.0,0.0,Active,Total,Total,JRC
7261005,7261005,ES,2020-01-06,40.0,0.0,Confirmed,Total,Total,JRC
7261006,7261006,ES,2020-01-06,1.0,0.0,Deaths,Total,Total,JRC
7261007,7261007,ES,2020-01-06,0.0,0.0,Hospitalized,Total,Total,JRC
7261008,7261008,ES,2020-01-06,7.0,0.0,ICU,Total,Total,JRC
7261009,7261009,ES,2020-01-06,24.0,0.0,Recovered,Total,Total,JRC
7261010,7261010,ES,2020-01-07,40.0,0.0,Active,Total,Total,JRC
7261011,7261011,ES,2020-01-07,40.0,0.0,Confirmed,Total,Total,JRC
7261012,7261012,ES,2020-01-07,1.0,0.0,Deaths,Total,Total,JRC
7261013,7261013,ES,2020-01-07,0.0,0.0,Hospitalized,Total,Total,JRC
7261014,7261014,ES,2020-01-07,7.0,0.0,ICU,Total,Total,JRC
