,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
2393820,2393820,ES,2020-01-01,C1,0.0,,,OxCGRT
2393821,2393821,ES,2020-01-01,C2,0.0,,,OxCGRT
2393822,2393822,ES,2020-01-01,C3,0.0,,,OxCGRT
2393823,2393823,ES,2020-01-01,C4,0.0,,,OxCGRT
2393824,2393824,ES,2020-01-01,C5,0.0,,,OxCGRT
2393825,2393825,ES,2020-01-01,C6,0.0,,,OxCGRT
2393826,2393826,ES,2020-01-01,C7,0.0,,,OxCGRT
2393827,2393827,ES,2020-01-01,C8,0.0,,,OxCGRT
2393828,2393828,ES,2020-01-01,Cases,,,,OxCGRT
2393829,2393829,ES,2020-01-01,Deaths,,,,OxCGRT
2393830,2393830,ES,2020-01-01,E1,0.0,,,OxCGRT
2393831,2393831,ES,2020-01-01,E2,0.0,,,OxCGRT
2393832,2393832,ES,2020-01-01,E3,0.0,,,OxCGRT
2393833,2393833,ES,2020-01-01,E4,0.0,,,OxCGRT
2393834,2393834,ES,2020-01-01,H1,0.0,,,OxCGRT
2393835,2393835,ES,2020-01-01,H2,0.0,,,OxCGRT
2393836,2393836,ES,2020-01-01,H3,0.0,,,OxCGRT
2393837,2393837,ES,2020-01-01,H4,0.0,,,OxCGRT
2393838,2393838,ES,2020-01-01,H5,0.0,,,OxCGRT
2393839,2393839,ES,2020-01-01,H6,0.0,,,OxCGRT
2393840,2393840,ES,2020-01-01,H7,0.0,,,OxCGRT
2393841,2393841,ES,2020-01-01,H8,0.0,,,OxCGRT
2393842,2393842,ES,2020-01-01,I1,0.0,,,OxCGRT
2393843,2393843,ES,2020-01-01,I1D,0.0,,,OxCGRT
2393844,2393844,ES,2020-01-01,I2,0.0,,,OxCGRT
2393845,2393845,ES,2020-01-01,I2D,0.0,,,OxCGRT
2393846,2393846,ES,2020-01-01,I3,0.0,,,OxCGRT
2393847,2393847,ES,2020-01-01,I3D,0.0,,,OxCGRT
2393848,2393848,ES,2020-01-01,I4,0.0,,,OxCGRT
2393849,2393849,ES,2020-01-01,I4D,0.0,,,OxCGRT
2393850,2393850,ES,2020-01-01,I4L,0.0,,,OxCGRT
2393851,2393851,ES,2020-01-01,I4LD,0.0,,,OxCGRT
2393852,2393852,ES,2020-01-01,M1,,,,OxCGRT
2393853,2393853,ES,2020-01-02,C1,0.0,,,OxCGRT
2393854,2393854,ES,2020-01-02,C2,0.0,,,OxCGRT
2393855,2393855,ES,2020-01-02,C3,0.0,,,OxCGRT
2393856,2393856,ES,2020-01-02,C4,0.0,,,OxCGRT
2393857,2393857,ES,2020-01-02,C5,0.0,,,OxCGRT
2393858,2393858,ES,2020-01-02,C6,0.0,,,OxCGRT
2393859,2393859,ES,2020-01-02,C7,0.0,,,OxCGRT
2393860,2393860,ES,2020-01-02,C8,0.0,,,OxCGRT
2393861,2393861,ES,2020-01-02,Cases,,,,OxCGRT
2393862,2393862,ES,2020-01-02,Deaths,,,,OxCGRT
2393863,2393863,ES,2020-01-02,E1,0.0,,,OxCGRT
2393864,2393864,ES,2020-01-02,E2,0.0,,,OxCGRT
2393865,2393865,ES,2020-01-02,E3,0.0,,,OxCGRT
2393866,2393866,ES,2020-01-02,E4,0.0,,,OxCGRT
2393867,2393867,ES,2020-01-02,H1,0.0,,,OxCGRT
2393868,2393868,ES,2020-01-02,H2,0.0,,,OxCGRT
