,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
2528955,2528955,GB,2020-01-01,C1,0.0,,,OxCGRT
2528956,2528956,GB,2020-01-01,C2,0.0,,,OxCGRT
2528957,2528957,GB,2020-01-01,C3,0.0,,,OxCGRT
2528958,2528958,GB,2020-01-01,C4,0.0,,,OxCGRT
2528959,2528959,GB,2020-01-01,C5,0.0,,,OxCGRT
2528960,2528960,GB,2020-01-01,C6,0.0,,,OxCGRT
2528961,2528961,GB,2020-01-01,C7,0.0,,,OxCGRT
2528962,2528962,GB,2020-01-01,C8,0.0,,,OxCGRT
2528963,2528963,GB,2020-01-01,Cases,,,,OxCGRT
2528964,2528964,GB,2020-01-01,Deaths,,,,OxCGRT
2528965,2528965,GB,2020-01-01,E1,0.0,,,OxCGRT
2528966,2528966,GB,2020-01-01,E2,0.0,,,OxCGRT
2528967,2528967,GB,2020-01-01,E3,0.0,,,OxCGRT
2528968,2528968,GB,2020-01-01,E4,0.0,,,OxCGRT
2528969,2528969,GB,2020-01-01,H1,0.0,,,OxCGRT
2528970,2528970,GB,2020-01-01,H2,0.0,,,OxCGRT
2528971,2528971,GB,2020-01-01,H3,0.0,,,OxCGRT
2528972,2528972,GB,2020-01-01,H4,0.0,,,OxCGRT
2528973,2528973,GB,2020-01-01,H5,0.0,,,OxCGRT
2528974,2528974,GB,2020-01-01,H6,0.0,,,OxCGRT
2528975,2528975,GB,2020-01-01,H7,0.0,,,OxCGRT
2528976,2528976,GB,2020-01-01,H8,0.0,,,OxCGRT
2528977,2528977,GB,2020-01-01,I1,0.0,,,OxCGRT
2528978,2528978,GB,2020-01-01,I1D,0.0,,,OxCGRT
2528979,2528979,GB,2020-01-01,I2,0.0,,,OxCGRT
2528980,2528980,GB,2020-01-01,I2D,0.0,,,OxCGRT
2528981,2528981,GB,2020-01-01,I3,0.0,,,OxCGRT
2528982,2528982,GB,2020-01-01,I3D,0.0,,,OxCGRT
2528983,2528983,GB,2020-01-01,I4,0.0,,,OxCGRT
2528984,2528984,GB,2020-01-01,I4D,0.0,,,OxCGRT
2528985,2528985,GB,2020-01-01,I4L,0.0,,,OxCGRT
2528986,2528986,GB,2020-01-01,I4LD,0.0,,,OxCGRT
2528987,2528987,GB,2020-01-01,M1,,,,OxCGRT
2528988,2528988,GB,2020-01-02,C1,0.0,,,OxCGRT
2528989,2528989,GB,2020-01-02,C2,0.0,,,OxCGRT
2528990,2528990,GB,2020-01-02,C3,0.0,,,OxCGRT
2528991,2528991,GB,2020-01-02,C4,0.0,,,OxCGRT
2528992,2528992,GB,2020-01-02,C5,0.0,,,OxCGRT
2528993,2528993,GB,2020-01-02,C6,0.0,,,OxCGRT
2528994,2528994,GB,2020-01-02,C7,0.0,,,OxCGRT
2528995,2528995,GB,2020-01-02,C8,0.0,,,OxCGRT
2528996,2528996,GB,2020-01-02,Cases,,,,OxCGRT
2528997,2528997,GB,2020-01-02,Deaths,,,,OxCGRT
2528998,2528998,GB,2020-01-02,E1,0.0,,,OxCGRT
2528999,2528999,GB,2020-01-02,E2,0.0,,,OxCGRT
2529000,2529000,GB,2020-01-02,E3,0.0,,,OxCGRT
2529001,2529001,GB,2020-01-02,E4,0.0,,,OxCGRT
2529002,2529002,GB,2020-01-02,H1,0.0,,,OxCGRT
2529003,2529003,GB,2020-01-02,H2,0.0,,,OxCGRT
2529004,2529004,GB,2020-01-02,H3,0.0,,,OxCGRT
2529005,2529005,GB,2020-01-02,H4,0.0,,,OxCGRT
2529006,2529006,GB,2020-01-02,H5,0.0,,,OxCGRT
2529007,2529007,GB,2020-01-02,H6,0.0,,,OxCGRT
2529008,2529008,GB,2020-01-02,H7,0.0,,,OxCGRT
2529009,2529009,GB,2020-01-02,H8,0.0,,,OxCGRT
2529010,2529010,GB,2020-01-02,I1,0.0,,,OxCGRT
2529011,2529011,GB,2020-01-02,I1D,0.0,,,OxCGRT
2529012,2529012,GB,2020-01-02,I2,0.0,,,OxCGRT
2529013,2529013,GB,2020-01-02,I2D,0.0,,,OxCGRT
2529014,2529014,GB,2020-01-02,I3,0.0,,,OxCGRT
2529015,2529015,GB,2020-01-02,I3D,0.0,,,OxCGRT
2529016,2529016,GB,2020-01-02,I4,0.0,,,OxCGRT
2529017,2529017,GB,2020-01-02,I4D,0.0,,,OxCGRT
2529018,2529018,GB,2020-01-02,I4L,0.0,,,OxCGRT
2529019,2529019,GB,2020-01-02,I4LD,0.0,,,OxCGRT
2529020,2529020,GB,2020-01-02,M1,,,,OxCGRT
2529021,2529021,GB,2020-01-03,C1,0.0,,,OxCGRT
2529022,2529022,GB,2020-01-03,C2,0.0,,,OxCGRT
2529023,2529023,GB,2020-01-03,C3,0.0,,,OxCGRT
2529024,2529024,GB,2020-01-03,C4,0.0,,,OxCGRT
2529025,2529025,GB,2020-01-03,C5,0.0,,,OxCGRT
2529026,2529026,GB,2020-01-03,C6,0.0,,,OxCGRT
2529027,2529027,GB,2020-01-03,C7,0.0,,,OxCGRT
2529028,2529028,GB,2020-01-03,C8,0.0,,,OxCGRT
2529029,2529029,GB,2020-01-03,Cases,,,,OxCGRT
2529030,2529030,GB,2020-01-03,Deaths,,,,OxCGRT
2529031,2529031,GB,2020-01-03,E1,0.0,,,OxCGRT
2529032,2529032,GB,2020-01-03,E2,0.0,,,OxCGRT
2529033,2529033,GB,2020-01-03,E3,0.0,,,OxCGRT
2529034,2529034,GB,2020-01-03,E4,0.0,,,OxCGRT
2529035,2529035,GB,2020-01-03,H1,0.0,,,OxCGRT
