,Unnamed: 0,ID,Date,Cases,Cases_New,Type,Age,Sex,Source
7534946,7534946,IT,2020-01-03,3.0,3.0,Active,Total,Total,JRC
7534947,7534947,IT,2020-01-03,3.0,3.0,Confirmed,Total,Total,JRC
7534948,7534948,IT,2020-01-03,7.0,7.0,Deaths,Total,Total,JRC
7534949,7534949,IT,2020-01-03,127.0,127.0,Hospitalized,Total,Total,JRC
7534950,7534950,IT,2020-01-03,26.0,26.0,ICU,Total,Total,JRC
7534951,7534951,IT,2020-01-03,1.0,1.0,Recovered,Total,Total,JRC
7534952,7534952,IT,2020-01-04,3.0,0.0,Active,Total,Total,JRC
7534953,7534953,IT,2020-01-04,3.0,0.0,Confirmed,Total,Total,JRC
7534954,7534954,IT,2020-01-04,7.0,0.0,Deaths,Total,Total,JRC
7534955,7534955,IT,2020-01-04,127.0,0.0,Hospitalized,Total,Total,JRC
7534956,7534956,IT,2020-01-04,26.0,0.0,ICU,Total,Total,JRC
7534957,7534957,IT,2020-01-04,1.0,0.0,Recovered,Total,Total,JRC
7534958,7534958,IT,2020-01-05,3.0,0.0,Active,Total,Total,JRC
7534959,7534959,IT,2020-01-05,3.0,0.0,Confirmed,Total,Total,JRC
7534960,7534960,IT,2020-01-05,7.0,0.0,Deaths,Total,Total,JRC
7534961,7534961,IT,2020-01-05,127.0,0.0,Hospitalized,Total,Total,JRC
7534962,7534962,IT,2020-01-05,26.0,0.0,ICU,Total,Total,JRC
7534963,7534963,IT,2020-01-05,1.0,0.0,Recovered,Total,Total,JRC
7534964,7534964,IT,2020-01-06,3.0,0.0,Active,Total,Total,JRC
7534965,7534965,IT,2020-01-06,3.0,0.0,Confirmed,Total,Total,JRC
7534966,7534966,IT,2020-01-06,7.0,0.0,Deaths,Total,Total,JRC
7534967,7534967,IT,2020-01-06,127.0,0.0,Hospitalized,Total,Total,JRC
7534968,7534968,IT,2020-01-06,26.0,0.0,ICU,Total,Total,JRC
7534969,7534969,IT,2020-01-06,1.0,0.0,Recovered,Total,Total,JRC
7534970,7534970,IT,2020-01-07,3.0,0.0,Active,Total,Total,JRC
7534971,7534971,IT,2020-01-07,3.0,0.0,Confirmed,Total,Total,JRC
7534972,7534972,IT,2020-01-07,7.0,0.0,Deaths,Total,Total,JRC
7534973,7534973,IT,2020-01-07,127.0,0.0,Hospitalized,Total,Total,JRC
7534974,7534974,IT,2020-01-07,26.0,0.0,ICU,Total,Total,JRC
7534975,7534975,IT,2020-01-07,1.0,0.0,Recovered,Total,Total,JRC
7534976,7534976,IT,2020-01-08,3.0,0.0,Active,Total,Total,JRC
7534977,7534977,IT,2020-01-08,3.0,0.0,Confirmed,Total,Total,JRC
7534978,7534978,IT,2020-01-08,7.0,0.0,Deaths,Total,Total,JRC
7534979,7534979,IT,2020-01-08,127.0,0.0,Hospitalized,Total,Total,JRC
7534980,7534980,IT,2020-01-08,26.0,0.0,ICU,Total,Total,JRC
7534981,7534981,IT,2020-01-08,1.0,0.0,Recovered,Total,Total,JRC
7534982,7534982,IT,2020-01-09,3.0,0.0,Active,Total,Total,JRC
7534983,7534983,IT,2020-01-09,3.0,0.0,Confirmed,Total,Total,JRC
7534984,7534984,IT,2020-01-09,7.0,0.0,Deaths,Total,Total,JRC
7534985,7534985,IT,2020-01-09,127.0,0.0,Hospitalized,Total,Total,JRC
7534986,7534986,IT,2020-01-09,26.0,0.0,ICU,Total,Total,JRC
7534987,7534987,IT,2020-01-09,1.0,0.0,Recovered,Total,Total,JRC
7534988,7534988,IT,2020-01-10,3.0,0.0,Active,Total,Total,JRC
7534989,7534989,IT,2020-01-10,3.0,0.0,Confirmed,Total,Total,JRC
7534990,7534990,IT,2020-01-10,7.0,0.0,Deaths,Total,Total,JRC
7534991,7534991,IT,2020-01-10,127.0,0.0,Hospitalized,Total,Total,JRC
7534992,7534992,IT,2020-01-10,26.0,0.0,ICU,Total,Total,JRC
7534993,7534993,IT,2020-01-10,1.0,0.0,Recovered,Total,Total,JRC
7534994,7534994,IT,2020-01-11,3.0,0.0,Active,Total,Total,JRC
7534995,7534995,IT,2020-01-11,3.0,0.0,Confirmed,Total,Total,JRC
7534996,7534996,IT,2020-01-11,7.0,0.0,Deaths,Total,Total,JRC
7534997,7534997,IT,2020-01-11,127.0,0.0,Hospitalized,Total,Total,JRC
7534998,7534998,IT,2020-01-11,26.0,0.0,ICU,Total,Total,JRC
7534999,7534999,IT,2020-01-11,1.0,0.0,Recovered,Total,Total,JRC
7535000,7535000,IT,2020-01-12,3.0,0.0,Active,Total,Total,JRC
7535001,7535001,IT,2020-01-12,3.0,0.0,Confirmed,Total,Total,JRC
7535002,7535002,IT,2020-01-12,7.0,0.0,Deaths,Total,Total,JRC
7535003,7535003,IT,2020-01-12,127.0,0.0,Hospitalized,Total,Total,JRC
7535004,7535004,IT,2020-01-12,26.0,0.0,ICU,Total,Total,JRC
7535005,7535005,IT,2020-01-12,1.0,0.0,Recovered,Total,Total,JRC
7535006,7535006,IT,2020-01-13,3.0,0.0,Active,Total,Total,JRC
7535007,7535007,IT,2020-01-13,3.0,0.0,Confirmed,Total,Total,JRC
7535008,7535008,IT,2020-01-13,7.0,0.0,Deaths,Total,Total,JRC
7535009,7535009,IT,2020-01-13,127.0,0.0,Hospitalized,Total,Total,JRC
7535010,7535010,IT,2020-01-13,26.0,0.0,ICU,Total,Total,JRC
7535011,7535011,IT,2020-01-13,1.0,0.0,Recovered,Total,Total,JRC
7535012,7535012,IT,2020-01-14,3.0,0.0,Active,Total,Total,JRC
7535013,7535013,IT,2020-01-14,3.0,0.0,Confirmed,Total,Total,JRC
7535014,7535014,IT,2020-01-14,7.0,0.0,Deaths,Total,Total,JRC
7535015,7535015,IT,2020-01-14,127.0,0.0,Hospitalized,Total,Total,JRC
7535016,7535016,IT,2020-01-14,26.0,0.0,ICU,Total,Total,JRC
7535017,7535017,IT,2020-01-14,1.0,0.0,Recovered,Total,Total,JRC
7535018,7535018,IT,2020-01-15,3.0,0.0,Active,Total,Total,JRC
7535019,7535019,IT,2020-01-15,3.0,0.0,Confirmed,Total,Total,JRC
7535020,7535020,IT,2020-01-15,7.0,0.0,Deaths,Total,Total,JRC
7535021,7535021,IT,2020-01-15,127.0,0.0,Hospitalized,Total,Total,JRC
