,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
3030885,3030885,IT,2020-01-01,C1,0.0,,,OxCGRT
3030886,3030886,IT,2020-01-01,C2,0.0,,,OxCGRT
3030887,3030887,IT,2020-01-01,C3,0.0,,,OxCGRT
3030888,3030888,IT,2020-01-01,C4,0.0,,,OxCGRT
3030889,3030889,IT,2020-01-01,C5,0.0,,,OxCGRT
3030890,3030890,IT,2020-01-01,C6,0.0,,,OxCGRT
3030891,3030891,IT,2020-01-01,C7,0.0,,,OxCGRT
3030892,3030892,IT,2020-01-01,C8,0.0,,,OxCGRT
3030893,3030893,IT,2020-01-01,Cases,,,,OxCGRT
3030894,3030894,IT,2020-01-01,Deaths,,,,OxCGRT
3030895,3030895,IT,2020-01-01,E1,0.0,,,OxCGRT
3030896,3030896,IT,2020-01-01,E2,0.0,,,OxCGRT
3030897,3030897,IT,2020-01-01,E3,0.0,,,OxCGRT
3030898,3030898,IT,2020-01-01,E4,0.0,,,OxCGRT
3030899,3030899,IT,2020-01-01,H1,0.0,,,OxCGRT
3030900,3030900,IT,2020-01-01,H2,0.0,,,OxCGRT
3030901,3030901,IT,2020-01-01,H3,0.0,,,OxCGRT
3030902,3030902,IT,2020-01-01,H4,0.0,,,OxCGRT
3030903,3030903,IT,2020-01-01,H5,0.0,,,OxCGRT
3030904,3030904,IT,2020-01-01,H6,0.0,,The pandemic first emerged on February 21 in the Italian region of Lombardy.    Source: http://web.archive.org/web/20200829130122/https://www.reuters.com/article/us-health-coronavirus-italy-masks/scramble-for-masks-as-italian-region-orders-coronavirus-cover-up-idUSKBN21O1Y0,OxCGRT
3030905,3030905,IT,2020-01-01,H7,0.0,,,OxCGRT
3030906,3030906,IT,2020-01-01,H8,0.0,,,OxCGRT
3030907,3030907,IT,2020-01-01,I1,0.0,,,OxCGRT
3030908,3030908,IT,2020-01-01,I1D,0.0,,,OxCGRT
3030909,3030909,IT,2020-01-01,I2,0.0,,,OxCGRT
3030910,3030910,IT,2020-01-01,I2D,0.0,,,OxCGRT
3030911,3030911,IT,2020-01-01,I3,0.0,,,OxCGRT
3030912,3030912,IT,2020-01-01,I3D,0.0,,,OxCGRT
3030913,3030913,IT,2020-01-01,I4,0.0,,,OxCGRT
3030914,3030914,IT,2020-01-01,I4D,0.0,,,OxCGRT
3030915,3030915,IT,2020-01-01,I4L,0.0,,,OxCGRT
3030916,3030916,IT,2020-01-01,I4LD,0.0,,,OxCGRT
3030917,3030917,IT,2020-01-01,M1,,,,OxCGRT
3030918,3030918,IT,2020-01-02,C1,0.0,,,OxCGRT
3030919,3030919,IT,2020-01-02,C2,0.0,,,OxCGRT
3030920,3030920,IT,2020-01-02,C3,0.0,,,OxCGRT
3030921,3030921,IT,2020-01-02,C4,0.0,,,OxCGRT
3030922,3030922,IT,2020-01-02,C5,0.0,,,OxCGRT
3030923,3030923,IT,2020-01-02,C6,0.0,,,OxCGRT
3030924,3030924,IT,2020-01-02,C7,0.0,,,OxCGRT
3030925,3030925,IT,2020-01-02,C8,0.0,,,OxCGRT
3030926,3030926,IT,2020-01-02,Cases,,,,OxCGRT
3030927,3030927,IT,2020-01-02,Deaths,,,,OxCGRT
3030928,3030928,IT,2020-01-02,E1,0.0,,,OxCGRT
3030929,3030929,IT,2020-01-02,E2,0.0,,,OxCGRT
3030930,3030930,IT,2020-01-02,E3,0.0,,,OxCGRT
3030931,3030931,IT,2020-01-02,E4,0.0,,,OxCGRT
3030932,3030932,IT,2020-01-02,H1,0.0,,,OxCGRT
3030933,3030933,IT,2020-01-02,H2,0.0,,,OxCGRT
3030934,3030934,IT,2020-01-02,H3,0.0,,,OxCGRT
3030935,3030935,IT,2020-01-02,H4,0.0,,,OxCGRT
3030936,3030936,IT,2020-01-02,H5,0.0,,,OxCGRT
3030937,3030937,IT,2020-01-02,H6,0.0,,,OxCGRT
3030938,3030938,IT,2020-01-02,H7,0.0,,,OxCGRT
3030939,3030939,IT,2020-01-02,H8,0.0,,,OxCGRT
3030940,3030940,IT,2020-01-02,I1,0.0,,,OxCGRT
3030941,3030941,IT,2020-01-02,I1D,0.0,,,OxCGRT
3030942,3030942,IT,2020-01-02,I2,0.0,,,OxCGRT
3030943,3030943,IT,2020-01-02,I2D,0.0,,,OxCGRT
3030944,3030944,IT,2020-01-02,I3,0.0,,,OxCGRT
3030945,3030945,IT,2020-01-02,I3D,0.0,,,OxCGRT
3030946,3030946,IT,2020-01-02,I4,0.0,,,OxCGRT
3030947,3030947,IT,2020-01-02,I4D,0.0,,,OxCGRT
3030948,3030948,IT,2020-01-02,I4L,0.0,,,OxCGRT
3030949,3030949,IT,2020-01-02,I4LD,0.0,,,OxCGRT
3030950,3030950,IT,2020-01-02,M1,,,,OxCGRT
3030951,3030951,IT,2020-01-03,C1,0.0,,,OxCGRT
3030952,3030952,IT,2020-01-03,C2,0.0,,,OxCGRT
3030953,3030953,IT,2020-01-03,C3,0.0,,,OxCGRT
3030954,3030954,IT,2020-01-03,C4,0.0,,,OxCGRT
3030955,3030955,IT,2020-01-03,C5,0.0,,,OxCGRT
3030956,3030956,IT,2020-01-03,C6,0.0,,,OxCGRT
3030957,3030957,IT,2020-01-03,C7,0.0,,,OxCGRT
3030958,3030958,IT,2020-01-03,C8,0.0,,,OxCGRT
3030959,3030959,IT,2020-01-03,Cases,,,,OxCGRT
3030960,3030960,IT,2020-01-03,Deaths,,,,OxCGRT
3030961,3030961,IT,2020-01-03,E1,0.0,,,OxCGRT
3030962,3030962,IT,2020-01-03,E2,0.0,,,OxCGRT
3030963,3030963,IT,2020-01-03,E3,0.0,,,OxCGRT
3030964,3030964,IT,2020-01-03,E4,0.0,,,OxCGRT
3030965,3030965,IT,2020-01-03,H1,0.0,,,OxCGRT
3030966,3030966,IT,2020-01-03,H2,0.0,,,OxCGRT
3030967,3030967,IT,2020-01-03,H3,0.0,,,OxCGRT
3030968,3030968,IT,2020-01-03,H4,0.0,,,OxCGRT
3030969,3030969,IT,2020-01-03,H5,0.0,,,OxCGRT
3030970,3030970,IT,2020-01-03,H6,0.0,,,OxCGRT
3030971,3030971,IT,2020-01-03,H7,0.0,,,OxCGRT
3030972,3030972,IT,2020-01-03,H8,0.0,,,OxCGRT
3030973,3030973,IT,2020-01-03,I1,0.0,,,OxCGRT
3030974,3030974,IT,2020-01-03,I1D,0.0,,,OxCGRT
3030975,3030975,IT,2020-01-03,I2,0.0,,,OxCGRT
3030976,3030976,IT,2020-01-03,I2D,0.0,,,OxCGRT
3030977,3030977,IT,2020-01-03,I3,0.0,,,OxCGRT
3030978,3030978,IT,2020-01-03,I3D,0.0,,,OxCGRT
3030979,3030979,IT,2020-01-03,I4,0.0,,,OxCGRT
3030980,3030980,IT,2020-01-03,I4D,0.0,,,OxCGRT
3030981,3030981,IT,2020-01-03,I4L,0.0,,,OxCGRT
3030982,3030982,IT,2020-01-03,I4LD,0.0,,,OxCGRT
3030983,3030983,IT,2020-01-03,M1,,,,OxCGRT
3030984,3030984,IT,2020-01-04,C1,0.0,,,OxCGRT
3030985,3030985,IT,2020-01-04,C2,0.0,,,OxCGRT
3030986,3030986,IT,2020-01-04,C3,0.0,,,OxCGRT
3030987,3030987,IT,2020-01-04,C4,0.0,,,OxCGRT
3030988,3030988,IT,2020-01-04,C5,0.0,,,OxCGRT
3030989,3030989,IT,2020-01-04,C6,0.0,,,OxCGRT
3030990,3030990,IT,2020-01-04,C7,0.0,,,OxCGRT
3030991,3030991,IT,2020-01-04,C8,0.0,,,OxCGRT
3030992,3030992,IT,2020-01-04,Cases,,,,OxCGRT
3030993,3030993,IT,2020-01-04,Deaths,,,,OxCGRT
3030994,3030994,IT,2020-01-04,E1,0.0,,,OxCGRT
3030995,3030995,IT,2020-01-04,E2,0.0,,,OxCGRT
3030996,3030996,IT,2020-01-04,E3,0.0,,,OxCGRT
3030997,3030997,IT,2020-01-04,E4,0.0,,,OxCGRT
3030998,3030998,IT,2020-01-04,H1,0.0,,,OxCGRT
3030999,3030999,IT,2020-01-04,H2,0.0,,,OxCGRT
3031000,3031000,IT,2020-01-04,H3,0.0,,,OxCGRT
3031001,3031001,IT,2020-01-04,H4,0.0,,,OxCGRT
3031002,3031002,IT,2020-01-04,H5,0.0,,,OxCGRT
3031003,3031003,IT,2020-01-04,H6,0.0,,,OxCGRT
3031004,3031004,IT,2020-01-04,H7,0.0,,,OxCGRT
3031005,3031005,IT,2020-01-04,H8,0.0,,,OxCGRT
3031006,3031006,IT,2020-01-04,I1,0.0,,,OxCGRT
3031007,3031007,IT,2020-01-04,I1D,0.0,,,OxCGRT
3031008,3031008,IT,2020-01-04,I2,0.0,,,OxCGRT
3031009,3031009,IT,2020-01-04,I2D,0.0,,,OxCGRT
3031010,3031010,IT,2020-01-04,I3,0.0,,,OxCGRT
3031011,3031011,IT,2020-01-04,I3D,0.0,,,OxCGRT
3031012,3031012,IT,2020-01-04,I4,0.0,,,OxCGRT
3031013,3031013,IT,2020-01-04,I4D,0.0,,,OxCGRT
3031014,3031014,IT,2020-01-04,I4L,0.0,,,OxCGRT
3031015,3031015,IT,2020-01-04,I4LD,0.0,,,OxCGRT
3031016,3031016,IT,2020-01-04,M1,,,,OxCGRT
3031017,3031017,IT,2020-01-05,C1,0.0,,,OxCGRT
3031018,3031018,IT,2020-01-05,C2,0.0,,,OxCGRT
3031019,3031019,IT,2020-01-05,C3,0.0,,,OxCGRT
3031020,3031020,IT,2020-01-05,C4,0.0,,,OxCGRT
3031021,3031021,IT,2020-01-05,C5,0.0,,,OxCGRT
3031022,3031022,IT,2020-01-05,C6,0.0,,,OxCGRT
3031023,3031023,IT,2020-01-05,C7,0.0,,,OxCGRT
3031024,3031024,IT,2020-01-05,C8,0.0,,,OxCGRT
3031025,3031025,IT,2020-01-05,Cases,,,,OxCGRT
3031026,3031026,IT,2020-01-05,Deaths,,,,OxCGRT
3031027,3031027,IT,2020-01-05,E1,0.0,,,OxCGRT
3031028,3031028,IT,2020-01-05,E2,0.0,,,OxCGRT
3031029,3031029,IT,2020-01-05,E3,0.0,,,OxCGRT
3031030,3031030,IT,2020-01-05,E4,0.0,,,OxCGRT
3031031,3031031,IT,2020-01-05,H1,0.0,,,OxCGRT
3031032,3031032,IT,2020-01-05,H2,0.0,,,OxCGRT
3031033,3031033,IT,2020-01-05,H3,0.0,,,OxCGRT
3031034,3031034,IT,2020-01-05,H4,0.0,,,OxCGRT
3031035,3031035,IT,2020-01-05,H5,0.0,,,OxCGRT
3031036,3031036,IT,2020-01-05,H6,0.0,,,OxCGRT
3031037,3031037,IT,2020-01-05,H7,0.0,,,OxCGRT
3031038,3031038,IT,2020-01-05,H8,0.0,,,OxCGRT
3031039,3031039,IT,2020-01-05,I1,0.0,,,OxCGRT
3031040,3031040,IT,2020-01-05,I1D,0.0,,,OxCGRT
3031041,3031041,IT,2020-01-05,I2,0.0,,,OxCGRT
3031042,3031042,IT,2020-01-05,I2D,0.0,,,OxCGRT
3031043,3031043,IT,2020-01-05,I3,0.0,,,OxCGRT
3031044,3031044,IT,2020-01-05,I3D,0.0,,,OxCGRT
3031045,3031045,IT,2020-01-05,I4,0.0,,,OxCGRT
3031046,3031046,IT,2020-01-05,I4D,0.0,,,OxCGRT
3031047,3031047,IT,2020-01-05,I4L,0.0,,,OxCGRT
3031048,3031048,IT,2020-01-05,I4LD,0.0,,,OxCGRT
3031049,3031049,IT,2020-01-05,M1,,,,OxCGRT
3031050,3031050,IT,2020-01-06,C1,0.0,,,OxCGRT
3031051,3031051,IT,2020-01-06,C2,0.0,,,OxCGRT
3031052,3031052,IT,2020-01-06,C3,0.0,,,OxCGRT
3031053,3031053,IT,2020-01-06,C4,0.0,,,OxCGRT
3031054,3031054,IT,2020-01-06,C5,0.0,,,OxCGRT
3031055,3031055,IT,2020-01-06,C6,0.0,,,OxCGRT
3031056,3031056,IT,2020-01-06,C7,0.0,,,OxCGRT
3031057,3031057,IT,2020-01-06,C8,0.0,,,OxCGRT
3031058,3031058,IT,2020-01-06,Cases,,,,OxCGRT
3031059,3031059,IT,2020-01-06,Deaths,,,,OxCGRT
3031060,3031060,IT,2020-01-06,E1,0.0,,,OxCGRT
3031061,3031061,IT,2020-01-06,E2,0.0,,,OxCGRT
3031062,3031062,IT,2020-01-06,E3,0.0,,,OxCGRT
3031063,3031063,IT,2020-01-06,E4,0.0,,,OxCGRT
3031064,3031064,IT,2020-01-06,H1,0.0,,,OxCGRT
3031065,3031065,IT,2020-01-06,H2,0.0,,,OxCGRT
3031066,3031066,IT,2020-01-06,H3,0.0,,,OxCGRT
3031067,3031067,IT,2020-01-06,H4,0.0,,,OxCGRT
3031068,3031068,IT,2020-01-06,H5,0.0,,,OxCGRT
3031069,3031069,IT,2020-01-06,H6,0.0,,,OxCGRT
3031070,3031070,IT,2020-01-06,H7,0.0,,,OxCGRT
3031071,3031071,IT,2020-01-06,H8,0.0,,,OxCGRT
3031072,3031072,IT,2020-01-06,I1,0.0,,,OxCGRT
3031073,3031073,IT,2020-01-06,I1D,0.0,,,OxCGRT
3031074,3031074,IT,2020-01-06,I2,0.0,,,OxCGRT
3031075,3031075,IT,2020-01-06,I2D,0.0,,,OxCGRT
3031076,3031076,IT,2020-01-06,I3,0.0,,,OxCGRT
3031077,3031077,IT,2020-01-06,I3D,0.0,,,OxCGRT
3031078,3031078,IT,2020-01-06,I4,0.0,,,OxCGRT
3031079,3031079,IT,2020-01-06,I4D,0.0,,,OxCGRT
3031080,3031080,IT,2020-01-06,I4L,0.0,,,OxCGRT
3031081,3031081,IT,2020-01-06,I4LD,0.0,,,OxCGRT
3031082,3031082,IT,2020-01-06,M1,,,,OxCGRT
3031083,3031083,IT,2020-01-07,C1,0.0,,,OxCGRT
3031084,3031084,IT,2020-01-07,C2,0.0,,,OxCGRT
3031085,3031085,IT,2020-01-07,C3,0.0,,,OxCGRT
3031086,3031086,IT,2020-01-07,C4,0.0,,,OxCGRT
3031087,3031087,IT,2020-01-07,C5,0.0,,,OxCGRT
3031088,3031088,IT,2020-01-07,C6,0.0,,,OxCGRT
3031089,3031089,IT,2020-01-07,C7,0.0,,,OxCGRT
3031090,3031090,IT,2020-01-07,C8,0.0,,,OxCGRT
3031091,3031091,IT,2020-01-07,Cases,,,,OxCGRT
3031092,3031092,IT,2020-01-07,Deaths,,,,OxCGRT
3031093,3031093,IT,2020-01-07,E1,0.0,,,OxCGRT
3031094,3031094,IT,2020-01-07,E2,0.0,,,OxCGRT
3031095,3031095,IT,2020-01-07,E3,0.0,,,OxCGRT
3031096,3031096,IT,2020-01-07,E4,0.0,,,OxCGRT
3031097,3031097,IT,2020-01-07,H1,0.0,,,OxCGRT
3031098,3031098,IT,2020-01-07,H2,0.0,,,OxCGRT
3031099,3031099,IT,2020-01-07,H3,0.0,,,OxCGRT
3031100,3031100,IT,2020-01-07,H4,0.0,,,OxCGRT
3031101,3031101,IT,2020-01-07,H5,0.0,,,OxCGRT
3031102,3031102,IT,2020-01-07,H6,0.0,,,OxCGRT
3031103,3031103,IT,2020-01-07,H7,0.0,,,OxCGRT
3031104,3031104,IT,2020-01-07,H8,0.0,,,OxCGRT
3031105,3031105,IT,2020-01-07,I1,0.0,,,OxCGRT
3031106,3031106,IT,2020-01-07,I1D,0.0,,,OxCGRT
3031107,3031107,IT,2020-01-07,I2,0.0,,,OxCGRT
3031108,3031108,IT,2020-01-07,I2D,0.0,,,OxCGRT
3031109,3031109,IT,2020-01-07,I3,0.0,,,OxCGRT
3031110,3031110,IT,2020-01-07,I3D,0.0,,,OxCGRT
3031111,3031111,IT,2020-01-07,I4,0.0,,,OxCGRT
3031112,3031112,IT,2020-01-07,I4D,0.0,,,OxCGRT
3031113,3031113,IT,2020-01-07,I4L,0.0,,,OxCGRT
3031114,3031114,IT,2020-01-07,I4LD,0.0,,,OxCGRT
3031115,3031115,IT,2020-01-07,M1,,,,OxCGRT
3031116,3031116,IT,2020-01-08,C1,0.0,,,OxCGRT
3031117,3031117,IT,2020-01-08,C2,0.0,,,OxCGRT
3031118,3031118,IT,2020-01-08,C3,0.0,,,OxCGRT
3031119,3031119,IT,2020-01-08,C4,0.0,,,OxCGRT
3031120,3031120,IT,2020-01-08,C5,0.0,,,OxCGRT
3031121,3031121,IT,2020-01-08,C6,0.0,,,OxCGRT
3031122,3031122,IT,2020-01-08,C7,0.0,,,OxCGRT
3031123,3031123,IT,2020-01-08,C8,0.0,,,OxCGRT
3031124,3031124,IT,2020-01-08,Cases,,,,OxCGRT
3031125,3031125,IT,2020-01-08,Deaths,,,,OxCGRT
3031126,3031126,IT,2020-01-08,E1,0.0,,,OxCGRT
3031127,3031127,IT,2020-01-08,E2,0.0,,,OxCGRT
3031128,3031128,IT,2020-01-08,E3,0.0,,,OxCGRT
3031129,3031129,IT,2020-01-08,E4,0.0,,,OxCGRT
3031130,3031130,IT,2020-01-08,H1,0.0,,,OxCGRT
3031131,3031131,IT,2020-01-08,H2,0.0,,,OxCGRT
3031132,3031132,IT,2020-01-08,H3,0.0,,,OxCGRT
3031133,3031133,IT,2020-01-08,H4,0.0,,,OxCGRT
3031134,3031134,IT,2020-01-08,H5,0.0,,,OxCGRT
3031135,3031135,IT,2020-01-08,H6,0.0,,,OxCGRT
3031136,3031136,IT,2020-01-08,H7,0.0,,,OxCGRT
3031137,3031137,IT,2020-01-08,H8,0.0,,,OxCGRT
3031138,3031138,IT,2020-01-08,I1,0.0,,,OxCGRT
3031139,3031139,IT,2020-01-08,I1D,0.0,,,OxCGRT
3031140,3031140,IT,2020-01-08,I2,0.0,,,OxCGRT
3031141,3031141,IT,2020-01-08,I2D,0.0,,,OxCGRT
3031142,3031142,IT,2020-01-08,I3,0.0,,,OxCGRT
3031143,3031143,IT,2020-01-08,I3D,0.0,,,OxCGRT
3031144,3031144,IT,2020-01-08,I4,0.0,,,OxCGRT
3031145,3031145,IT,2020-01-08,I4D,0.0,,,OxCGRT
3031146,3031146,IT,2020-01-08,I4L,0.0,,,OxCGRT
3031147,3031147,IT,2020-01-08,I4LD,0.0,,,OxCGRT
3031148,3031148,IT,2020-01-08,M1,,,,OxCGRT
3031149,3031149,IT,2020-01-09,C1,0.0,,,OxCGRT
3031150,3031150,IT,2020-01-09,C2,0.0,,,OxCGRT
3031151,3031151,IT,2020-01-09,C3,0.0,,,OxCGRT
3031152,3031152,IT,2020-01-09,C4,0.0,,,OxCGRT
3031153,3031153,IT,2020-01-09,C5,0.0,,,OxCGRT
3031154,3031154,IT,2020-01-09,C6,0.0,,,OxCGRT
3031155,3031155,IT,2020-01-09,C7,0.0,,,OxCGRT
3031156,3031156,IT,2020-01-09,C8,0.0,,,OxCGRT
3031157,3031157,IT,2020-01-09,Cases,,,,OxCGRT
3031158,3031158,IT,2020-01-09,Deaths,,,,OxCGRT
3031159,3031159,IT,2020-01-09,E1,0.0,,,OxCGRT
3031160,3031160,IT,2020-01-09,E2,0.0,,,OxCGRT
3031161,3031161,IT,2020-01-09,E3,0.0,,,OxCGRT
3031162,3031162,IT,2020-01-09,E4,0.0,,,OxCGRT
3031163,3031163,IT,2020-01-09,H1,0.0,,,OxCGRT
3031164,3031164,IT,2020-01-09,H2,0.0,,,OxCGRT
3031165,3031165,IT,2020-01-09,H3,0.0,,,OxCGRT
3031166,3031166,IT,2020-01-09,H4,0.0,,,OxCGRT
3031167,3031167,IT,2020-01-09,H5,0.0,,,OxCGRT
3031168,3031168,IT,2020-01-09,H6,0.0,,,OxCGRT
3031169,3031169,IT,2020-01-09,H7,0.0,,,OxCGRT
3031170,3031170,IT,2020-01-09,H8,0.0,,,OxCGRT
3031171,3031171,IT,2020-01-09,I1,0.0,,,OxCGRT
3031172,3031172,IT,2020-01-09,I1D,0.0,,,OxCGRT
3031173,3031173,IT,2020-01-09,I2,0.0,,,OxCGRT
3031174,3031174,IT,2020-01-09,I2D,0.0,,,OxCGRT
3031175,3031175,IT,2020-01-09,I3,0.0,,,OxCGRT
3031176,3031176,IT,2020-01-09,I3D,0.0,,,OxCGRT
3031177,3031177,IT,2020-01-09,I4,0.0,,,OxCGRT
3031178,3031178,IT,2020-01-09,I4D,0.0,,,OxCGRT
3031179,3031179,IT,2020-01-09,I4L,0.0,,,OxCGRT
3031180,3031180,IT,2020-01-09,I4LD,0.0,,,OxCGRT
3031181,3031181,IT,2020-01-09,M1,,,,OxCGRT
3031182,3031182,IT,2020-01-10,C1,0.0,,,OxCGRT
3031183,3031183,IT,2020-01-10,C2,0.0,,,OxCGRT
3031184,3031184,IT,2020-01-10,C3,0.0,,,OxCGRT
3031185,3031185,IT,2020-01-10,C4,0.0,,,OxCGRT
3031186,3031186,IT,2020-01-10,C5,0.0,,,OxCGRT
3031187,3031187,IT,2020-01-10,C6,0.0,,,OxCGRT
3031188,3031188,IT,2020-01-10,C7,0.0,,,OxCGRT
3031189,3031189,IT,2020-01-10,C8,0.0,,,OxCGRT
3031190,3031190,IT,2020-01-10,Cases,,,,OxCGRT
3031191,3031191,IT,2020-01-10,Deaths,,,,OxCGRT
3031192,3031192,IT,2020-01-10,E1,0.0,,,OxCGRT
3031193,3031193,IT,2020-01-10,E2,0.0,,,OxCGRT
3031194,3031194,IT,2020-01-10,E3,0.0,,,OxCGRT
3031195,3031195,IT,2020-01-10,E4,0.0,,,OxCGRT
3031196,3031196,IT,2020-01-10,H1,0.0,,,OxCGRT
3031197,3031197,IT,2020-01-10,H2,0.0,,,OxCGRT
3031198,3031198,IT,2020-01-10,H3,0.0,,,OxCGRT
3031199,3031199,IT,2020-01-10,H4,0.0,,,OxCGRT
3031200,3031200,IT,2020-01-10,H5,0.0,,,OxCGRT
3031201,3031201,IT,2020-01-10,H6,0.0,,,OxCGRT
3031202,3031202,IT,2020-01-10,H7,0.0,,,OxCGRT
3031203,3031203,IT,2020-01-10,H8,0.0,,,OxCGRT
3031204,3031204,IT,2020-01-10,I1,0.0,,,OxCGRT
3031205,3031205,IT,2020-01-10,I1D,0.0,,,OxCGRT
3031206,3031206,IT,2020-01-10,I2,0.0,,,OxCGRT
3031207,3031207,IT,2020-01-10,I2D,0.0,,,OxCGRT
3031208,3031208,IT,2020-01-10,I3,0.0,,,OxCGRT
3031209,3031209,IT,2020-01-10,I3D,0.0,,,OxCGRT
3031210,3031210,IT,2020-01-10,I4,0.0,,,OxCGRT
3031211,3031211,IT,2020-01-10,I4D,0.0,,,OxCGRT
3031212,3031212,IT,2020-01-10,I4L,0.0,,,OxCGRT
3031213,3031213,IT,2020-01-10,I4LD,0.0,,,OxCGRT
3031214,3031214,IT,2020-01-10,M1,,,,OxCGRT
3031215,3031215,IT,2020-01-11,C1,0.0,,,OxCGRT
3031216,3031216,IT,2020-01-11,C2,0.0,,,OxCGRT
3031217,3031217,IT,2020-01-11,C3,0.0,,,OxCGRT
3031218,3031218,IT,2020-01-11,C4,0.0,,,OxCGRT
3031219,3031219,IT,2020-01-11,C5,0.0,,,OxCGRT
3031220,3031220,IT,2020-01-11,C6,0.0,,,OxCGRT
3031221,3031221,IT,2020-01-11,C7,0.0,,,OxCGRT
3031222,3031222,IT,2020-01-11,C8,0.0,,,OxCGRT
3031223,3031223,IT,2020-01-11,Cases,,,,OxCGRT
3031224,3031224,IT,2020-01-11,Deaths,,,,OxCGRT
3031225,3031225,IT,2020-01-11,E1,0.0,,,OxCGRT
3031226,3031226,IT,2020-01-11,E2,0.0,,,OxCGRT
3031227,3031227,IT,2020-01-11,E3,0.0,,,OxCGRT
3031228,3031228,IT,2020-01-11,E4,0.0,,,OxCGRT
3031229,3031229,IT,2020-01-11,H1,0.0,,,OxCGRT
3031230,3031230,IT,2020-01-11,H2,0.0,,,OxCGRT
3031231,3031231,IT,2020-01-11,H3,0.0,,,OxCGRT
3031232,3031232,IT,2020-01-11,H4,0.0,,,OxCGRT
3031233,3031233,IT,2020-01-11,H5,0.0,,,OxCGRT
3031234,3031234,IT,2020-01-11,H6,0.0,,,OxCGRT
3031235,3031235,IT,2020-01-11,H7,0.0,,,OxCGRT
3031236,3031236,IT,2020-01-11,H8,0.0,,,OxCGRT
3031237,3031237,IT,2020-01-11,I1,0.0,,,OxCGRT
3031238,3031238,IT,2020-01-11,I1D,0.0,,,OxCGRT
3031239,3031239,IT,2020-01-11,I2,0.0,,,OxCGRT
3031240,3031240,IT,2020-01-11,I2D,0.0,,,OxCGRT
3031241,3031241,IT,2020-01-11,I3,0.0,,,OxCGRT
3031242,3031242,IT,2020-01-11,I3D,0.0,,,OxCGRT
3031243,3031243,IT,2020-01-11,I4,0.0,,,OxCGRT
3031244,3031244,IT,2020-01-11,I4D,0.0,,,OxCGRT
3031245,3031245,IT,2020-01-11,I4L,0.0,,,OxCGRT
3031246,3031246,IT,2020-01-11,I4LD,0.0,,,OxCGRT
3031247,3031247,IT,2020-01-11,M1,,,,OxCGRT
3031248,3031248,IT,2020-01-12,C1,0.0,,,OxCGRT
3031249,3031249,IT,2020-01-12,C2,0.0,,,OxCGRT
3031250,3031250,IT,2020-01-12,C3,0.0,,,OxCGRT
3031251,3031251,IT,2020-01-12,C4,0.0,,,OxCGRT
3031252,3031252,IT,2020-01-12,C5,0.0,,,OxCGRT
3031253,3031253,IT,2020-01-12,C6,0.0,,,OxCGRT
3031254,3031254,IT,2020-01-12,C7,0.0,,,OxCGRT
3031255,3031255,IT,2020-01-12,C8,0.0,,,OxCGRT
3031256,3031256,IT,2020-01-12,Cases,,,,OxCGRT
3031257,3031257,IT,2020-01-12,Deaths,,,,OxCGRT
3031258,3031258,IT,2020-01-12,E1,0.0,,,OxCGRT
3031259,3031259,IT,2020-01-12,E2,0.0,,,OxCGRT
3031260,3031260,IT,2020-01-12,E3,0.0,,,OxCGRT
3031261,3031261,IT,2020-01-12,E4,0.0,,,OxCGRT
3031262,3031262,IT,2020-01-12,H1,0.0,,,OxCGRT
3031263,3031263,IT,2020-01-12,H2,0.0,,,OxCGRT
3031264,3031264,IT,2020-01-12,H3,0.0,,,OxCGRT
3031265,3031265,IT,2020-01-12,H4,0.0,,,OxCGRT
3031266,3031266,IT,2020-01-12,H5,0.0,,,OxCGRT
3031267,3031267,IT,2020-01-12,H6,0.0,,,OxCGRT
3031268,3031268,IT,2020-01-12,H7,0.0,,,OxCGRT
3031269,3031269,IT,2020-01-12,H8,0.0,,,OxCGRT
3031270,3031270,IT,2020-01-12,I1,0.0,,,OxCGRT
3031271,3031271,IT,2020-01-12,I1D,0.0,,,OxCGRT
3031272,3031272,IT,2020-01-12,I2,0.0,,,OxCGRT
3031273,3031273,IT,2020-01-12,I2D,0.0,,,OxCGRT
3031274,3031274,IT,2020-01-12,I3,0.0,,,OxCGRT
3031275,3031275,IT,2020-01-12,I3D,0.0,,,OxCGRT
3031276,3031276,IT,2020-01-12,I4,0.0,,,OxCGRT
3031277,3031277,IT,2020-01-12,I4D,0.0,,,OxCGRT
3031278,3031278,IT,2020-01-12,I4L,0.0,,,OxCGRT
