,Unnamed: 0,ID,Date,Cases,Cases_New,Type,Age,Sex,Source
8076719,8076719,MX,2020-01-03,6.0,6.0,Active,Total,Total,JRC
8076720,8076720,MX,2020-01-03,6.0,6.0,Confirmed,Total,Total,JRC
8076721,8076721,MX,2020-01-03,0.0,0.0,Deaths,Total,Total,JRC
8076722,8076722,MX,2020-01-04,6.0,0.0,Active,Total,Total,JRC
8076723,8076723,MX,2020-01-04,6.0,0.0,Confirmed,Total,Total,JRC
8076724,8076724,MX,2020-01-04,0.0,0.0,Deaths,Total,Total,JRC
8076725,8076725,MX,2020-01-05,6.0,0.0,Active,Total,Total,JRC
8076726,8076726,MX,2020-01-05,6.0,0.0,Confirmed,Total,Total,JRC
8076727,8076727,MX,2020-01-05,0.0,0.0,Deaths,Total,Total,JRC
8076728,8076728,MX,2020-01-06,6.0,0.0,Active,Total,Total,JRC
8076729,8076729,MX,2020-01-06,6.0,0.0,Confirmed,Total,Total,JRC
8076730,8076730,MX,2020-01-06,0.0,0.0,Deaths,Total,Total,JRC
8076731,8076731,MX,2020-01-07,6.0,0.0,Active,Total,Total,JRC
8076732,8076732,MX,2020-01-07,6.0,0.0,Confirmed,Total,Total,JRC
8076733,8076733,MX,2020-01-07,0.0,0.0,Deaths,Total,Total,JRC
8076734,8076734,MX,2020-01-08,6.0,0.0,Active,Total,Total,JRC
8076735,8076735,MX,2020-01-08,6.0,0.0,Confirmed,Total,Total,JRC
8076736,8076736,MX,2020-01-08,0.0,0.0,Deaths,Total,Total,JRC
8076737,8076737,MX,2020-01-09,6.0,0.0,Active,Total,Total,JRC
8076738,8076738,MX,2020-01-09,6.0,0.0,Confirmed,Total,Total,JRC
8076739,8076739,MX,2020-01-09,0.0,0.0,Deaths,Total,Total,JRC
8076740,8076740,MX,2020-01-10,6.0,0.0,Active,Total,Total,JRC
8076741,8076741,MX,2020-01-10,6.0,0.0,Confirmed,Total,Total,JRC
8076742,8076742,MX,2020-01-10,0.0,0.0,Deaths,Total,Total,JRC
8076743,8076743,MX,2020-01-11,6.0,0.0,Active,Total,Total,JRC
8076744,8076744,MX,2020-01-11,6.0,0.0,Confirmed,Total,Total,JRC
8076745,8076745,MX,2020-01-11,0.0,0.0,Deaths,Total,Total,JRC
8076746,8076746,MX,2020-01-12,6.0,0.0,Active,Total,Total,JRC
8076747,8076747,MX,2020-01-12,6.0,0.0,Confirmed,Total,Total,JRC
8076748,8076748,MX,2020-01-12,0.0,0.0,Deaths,Total,Total,JRC
8076749,8076749,MX,2020-01-13,6.0,0.0,Active,Total,Total,JRC
8076750,8076750,MX,2020-01-13,6.0,0.0,Confirmed,Total,Total,JRC
8076751,8076751,MX,2020-01-13,0.0,0.0,Deaths,Total,Total,JRC
8076752,8076752,MX,2020-01-14,6.0,0.0,Active,Total,Total,JRC
8076753,8076753,MX,2020-01-14,6.0,0.0,Confirmed,Total,Total,JRC
8076754,8076754,MX,2020-01-14,0.0,0.0,Deaths,Total,Total,JRC
8076755,8076755,MX,2020-01-15,6.0,0.0,Active,Total,Total,JRC
8076756,8076756,MX,2020-01-15,6.0,0.0,Confirmed,Total,Total,JRC
8076757,8076757,MX,2020-01-15,0.0,0.0,Deaths,Total,Total,JRC
8076758,8076758,MX,2020-01-16,6.0,0.0,Active,Total,Total,JRC
8076759,8076759,MX,2020-01-16,6.0,0.0,Confirmed,Total,Total,JRC
8076760,8076760,MX,2020-01-16,0.0,0.0,Deaths,Total,Total,JRC
8076761,8076761,MX,2020-01-17,6.0,0.0,Active,Total,Total,JRC
8076762,8076762,MX,2020-01-17,6.0,0.0,Confirmed,Total,Total,JRC
8076763,8076763,MX,2020-01-17,0.0,0.0,Deaths,Total,Total,JRC
8076764,8076764,MX,2020-01-18,6.0,0.0,Active,Total,Total,JRC
8076765,8076765,MX,2020-01-18,6.0,0.0,Confirmed,Total,Total,JRC
8076766,8076766,MX,2020-01-18,0.0,0.0,Deaths,Total,Total,JRC
8076767,8076767,MX,2020-01-19,6.0,0.0,Active,Total,Total,JRC
8076768,8076768,MX,2020-01-19,6.0,0.0,Confirmed,Total,Total,JRC
8076769,8076769,MX,2020-01-19,0.0,0.0,Deaths,Total,Total,JRC
8076770,8076770,MX,2020-01-20,6.0,0.0,Active,Total,Total,JRC
8076771,8076771,MX,2020-01-20,6.0,0.0,Confirmed,Total,Total,JRC
8076772,8076772,MX,2020-01-20,0.0,0.0,Deaths,Total,Total,JRC
8076773,8076773,MX,2020-01-21,6.0,0.0,Active,Total,Total,JRC
8076774,8076774,MX,2020-01-21,6.0,0.0,Confirmed,Total,Total,JRC
8076775,8076775,MX,2020-01-21,0.0,0.0,Deaths,Total,Total,JRC
8076776,8076776,MX,2020-01-22,0.0,0.0,Active,Total,Total,JHU
