,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
3687255,3687255,MX,2020-01-01,C1,0.0,,,OxCGRT
3687256,3687256,MX,2020-01-01,C2,0.0,,,OxCGRT
3687257,3687257,MX,2020-01-01,C3,0.0,,,OxCGRT
3687258,3687258,MX,2020-01-01,C4,0.0,,,OxCGRT
3687259,3687259,MX,2020-01-01,C5,0.0,,,OxCGRT
3687260,3687260,MX,2020-01-01,C6,0.0,,,OxCGRT
3687261,3687261,MX,2020-01-01,C7,0.0,,,OxCGRT
3687262,3687262,MX,2020-01-01,C8,0.0,,,OxCGRT
3687263,3687263,MX,2020-01-01,Cases,,,,OxCGRT
3687264,3687264,MX,2020-01-01,Deaths,,,,OxCGRT
3687265,3687265,MX,2020-01-01,E1,0.0,,,OxCGRT
3687266,3687266,MX,2020-01-01,E2,0.0,,,OxCGRT
3687267,3687267,MX,2020-01-01,E3,0.0,,,OxCGRT
3687268,3687268,MX,2020-01-01,E4,0.0,,"""Like many other populist leaders around the world, including Donald Trump, Jair Bolsanaro in Brazil, and Imran Khan in Pakistan, Mexican President Andrés Manuel López Obrador (commonly known as AMLO) has mostly taken a dangerously dismissive and outright irresponsible attitude toward the coronavirus.""    https://web.archive.org/web/20200507093518/https://www.brookings.edu/blog/order-from-chaos/2020/03/30/amlos-feeble-response-to-covid-19-in-mexico/",OxCGRT
3687269,3687269,MX,2020-01-01,H1,0.0,,,OxCGRT
3687270,3687270,MX,2020-01-01,H2,0.0,,,OxCGRT
3687271,3687271,MX,2020-01-01,H3,0.0,,,OxCGRT
3687272,3687272,MX,2020-01-01,H4,0.0,,,OxCGRT
3687273,3687273,MX,2020-01-01,H5,0.0,,,OxCGRT
3687274,3687274,MX,2020-01-01,H6,0.0,,,OxCGRT
3687275,3687275,MX,2020-01-01,H7,0.0,,,OxCGRT
3687276,3687276,MX,2020-01-01,H8,0.0,,,OxCGRT
3687277,3687277,MX,2020-01-01,I1,0.0,,,OxCGRT
3687278,3687278,MX,2020-01-01,I1D,0.0,,,OxCGRT
3687279,3687279,MX,2020-01-01,I2,0.0,,,OxCGRT
3687280,3687280,MX,2020-01-01,I2D,0.0,,,OxCGRT
3687281,3687281,MX,2020-01-01,I3,0.0,,,OxCGRT
3687282,3687282,MX,2020-01-01,I3D,0.0,,,OxCGRT
3687283,3687283,MX,2020-01-01,I4,0.0,,,OxCGRT
3687284,3687284,MX,2020-01-01,I4D,0.0,,,OxCGRT
3687285,3687285,MX,2020-01-01,I4L,0.0,,,OxCGRT
3687286,3687286,MX,2020-01-01,I4LD,0.0,,,OxCGRT
3687287,3687287,MX,2020-01-01,M1,,,,OxCGRT
3687288,3687288,MX,2020-01-02,C1,0.0,,,OxCGRT
3687289,3687289,MX,2020-01-02,C2,0.0,,,OxCGRT
3687290,3687290,MX,2020-01-02,C3,0.0,,,OxCGRT
3687291,3687291,MX,2020-01-02,C4,0.0,,,OxCGRT
3687292,3687292,MX,2020-01-02,C5,0.0,,,OxCGRT
3687293,3687293,MX,2020-01-02,C6,0.0,,,OxCGRT
3687294,3687294,MX,2020-01-02,C7,0.0,,,OxCGRT
3687295,3687295,MX,2020-01-02,C8,0.0,,,OxCGRT
3687296,3687296,MX,2020-01-02,Cases,,,,OxCGRT
3687297,3687297,MX,2020-01-02,Deaths,,,,OxCGRT
3687298,3687298,MX,2020-01-02,E1,0.0,,,OxCGRT
3687299,3687299,MX,2020-01-02,E2,0.0,,,OxCGRT
3687300,3687300,MX,2020-01-02,E3,0.0,,,OxCGRT
3687301,3687301,MX,2020-01-02,E4,0.0,,,OxCGRT
3687302,3687302,MX,2020-01-02,H1,0.0,,,OxCGRT
3687303,3687303,MX,2020-01-02,H2,0.0,,,OxCGRT
3687304,3687304,MX,2020-01-02,H3,0.0,,,OxCGRT
3687305,3687305,MX,2020-01-02,H4,0.0,,,OxCGRT
3687306,3687306,MX,2020-01-02,H5,0.0,,,OxCGRT
3687307,3687307,MX,2020-01-02,H6,0.0,,,OxCGRT
3687308,3687308,MX,2020-01-02,H7,0.0,,,OxCGRT
3687309,3687309,MX,2020-01-02,H8,0.0,,,OxCGRT
3687310,3687310,MX,2020-01-02,I1,0.0,,,OxCGRT
3687311,3687311,MX,2020-01-02,I1D,0.0,,,OxCGRT
3687312,3687312,MX,2020-01-02,I2,0.0,,,OxCGRT
3687313,3687313,MX,2020-01-02,I2D,0.0,,,OxCGRT
3687314,3687314,MX,2020-01-02,I3,0.0,,,OxCGRT
3687315,3687315,MX,2020-01-02,I3D,0.0,,,OxCGRT
3687316,3687316,MX,2020-01-02,I4,0.0,,,OxCGRT
3687317,3687317,MX,2020-01-02,I4D,0.0,,,OxCGRT
3687318,3687318,MX,2020-01-02,I4L,0.0,,,OxCGRT
3687319,3687319,MX,2020-01-02,I4LD,0.0,,,OxCGRT
3687320,3687320,MX,2020-01-02,M1,,,,OxCGRT
3687321,3687321,MX,2020-01-03,C1,0.0,,,OxCGRT
3687322,3687322,MX,2020-01-03,C2,0.0,,,OxCGRT
3687323,3687323,MX,2020-01-03,C3,0.0,,,OxCGRT
3687324,3687324,MX,2020-01-03,C4,0.0,,,OxCGRT
3687325,3687325,MX,2020-01-03,C5,0.0,,,OxCGRT
3687326,3687326,MX,2020-01-03,C6,0.0,,,OxCGRT
3687327,3687327,MX,2020-01-03,C7,0.0,,,OxCGRT
3687328,3687328,MX,2020-01-03,C8,0.0,,,OxCGRT
3687329,3687329,MX,2020-01-03,Cases,,,,OxCGRT
3687330,3687330,MX,2020-01-03,Deaths,,,,OxCGRT
3687331,3687331,MX,2020-01-03,E1,0.0,,,OxCGRT
3687332,3687332,MX,2020-01-03,E2,0.0,,,OxCGRT
3687333,3687333,MX,2020-01-03,E3,0.0,,,OxCGRT
3687334,3687334,MX,2020-01-03,E4,0.0,,,OxCGRT
3687335,3687335,MX,2020-01-03,H1,0.0,,,OxCGRT
3687336,3687336,MX,2020-01-03,H2,0.0,,,OxCGRT
3687337,3687337,MX,2020-01-03,H3,0.0,,,OxCGRT
3687338,3687338,MX,2020-01-03,H4,0.0,,,OxCGRT
3687339,3687339,MX,2020-01-03,H5,0.0,,,OxCGRT
