,Unnamed: 0,ID,Date,Cases,Cases_New,Type,Age,Sex,Source
9227356,9227356,MY,2020-01-03,7.0,7.0,Active,Total,Total,JRC
9227357,9227357,MY,2020-01-03,7.0,7.0,Confirmed,Total,Total,JRC
9227358,9227358,MY,2020-01-03,0.0,0.0,Deaths,Total,Total,JRC
9227359,9227359,MY,2020-01-04,7.0,0.0,Active,Total,Total,JRC
9227360,9227360,MY,2020-01-04,7.0,0.0,Confirmed,Total,Total,JRC
9227361,9227361,MY,2020-01-04,0.0,0.0,Deaths,Total,Total,JRC
9227362,9227362,MY,2020-01-05,7.0,0.0,Active,Total,Total,JRC
9227363,9227363,MY,2020-01-05,7.0,0.0,Confirmed,Total,Total,JRC
9227364,9227364,MY,2020-01-05,0.0,0.0,Deaths,Total,Total,JRC
9227365,9227365,MY,2020-01-06,7.0,0.0,Active,Total,Total,JRC
9227366,9227366,MY,2020-01-06,7.0,0.0,Confirmed,Total,Total,JRC
9227367,9227367,MY,2020-01-06,0.0,0.0,Deaths,Total,Total,JRC
9227368,9227368,MY,2020-01-07,7.0,0.0,Active,Total,Total,JRC
9227369,9227369,MY,2020-01-07,7.0,0.0,Confirmed,Total,Total,JRC
9227370,9227370,MY,2020-01-07,0.0,0.0,Deaths,Total,Total,JRC
9227371,9227371,MY,2020-01-08,7.0,0.0,Active,Total,Total,JRC
9227372,9227372,MY,2020-01-08,7.0,0.0,Confirmed,Total,Total,JRC
9227373,9227373,MY,2020-01-08,0.0,0.0,Deaths,Total,Total,JRC
9227374,9227374,MY,2020-01-09,7.0,0.0,Active,Total,Total,JRC
9227375,9227375,MY,2020-01-09,7.0,0.0,Confirmed,Total,Total,JRC
9227376,9227376,MY,2020-01-09,0.0,0.0,Deaths,Total,Total,JRC
9227377,9227377,MY,2020-01-10,7.0,0.0,Active,Total,Total,JRC
9227378,9227378,MY,2020-01-10,7.0,0.0,Confirmed,Total,Total,JRC
9227379,9227379,MY,2020-01-10,0.0,0.0,Deaths,Total,Total,JRC
9227380,9227380,MY,2020-01-11,7.0,0.0,Active,Total,Total,JRC
9227381,9227381,MY,2020-01-11,7.0,0.0,Confirmed,Total,Total,JRC
9227382,9227382,MY,2020-01-11,0.0,0.0,Deaths,Total,Total,JRC
9227383,9227383,MY,2020-01-12,7.0,0.0,Active,Total,Total,JRC
9227384,9227384,MY,2020-01-12,7.0,0.0,Confirmed,Total,Total,JRC
9227385,9227385,MY,2020-01-12,0.0,0.0,Deaths,Total,Total,JRC
9227386,9227386,MY,2020-01-13,7.0,0.0,Active,Total,Total,JRC
9227387,9227387,MY,2020-01-13,7.0,0.0,Confirmed,Total,Total,JRC
9227388,9227388,MY,2020-01-13,0.0,0.0,Deaths,Total,Total,JRC
9227389,9227389,MY,2020-01-14,7.0,0.0,Active,Total,Total,JRC
9227390,9227390,MY,2020-01-14,7.0,0.0,Confirmed,Total,Total,JRC
9227391,9227391,MY,2020-01-14,0.0,0.0,Deaths,Total,Total,JRC
9227392,9227392,MY,2020-01-15,7.0,0.0,Active,Total,Total,JRC
9227393,9227393,MY,2020-01-15,7.0,0.0,Confirmed,Total,Total,JRC
9227394,9227394,MY,2020-01-15,0.0,0.0,Deaths,Total,Total,JRC
9227395,9227395,MY,2020-01-16,7.0,0.0,Active,Total,Total,JRC
9227396,9227396,MY,2020-01-16,7.0,0.0,Confirmed,Total,Total,JRC
9227397,9227397,MY,2020-01-16,0.0,0.0,Deaths,Total,Total,JRC
9227398,9227398,MY,2020-01-17,7.0,0.0,Active,Total,Total,JRC
9227399,9227399,MY,2020-01-17,7.0,0.0,Confirmed,Total,Total,JRC
9227400,9227400,MY,2020-01-17,0.0,0.0,Deaths,Total,Total,JRC
9227401,9227401,MY,2020-01-18,7.0,0.0,Active,Total,Total,JRC
9227402,9227402,MY,2020-01-18,7.0,0.0,Confirmed,Total,Total,JRC
9227403,9227403,MY,2020-01-18,0.0,0.0,Deaths,Total,Total,JRC
9227404,9227404,MY,2020-01-19,7.0,0.0,Active,Total,Total,JRC
9227405,9227405,MY,2020-01-19,7.0,0.0,Confirmed,Total,Total,JRC
9227406,9227406,MY,2020-01-19,0.0,0.0,Deaths,Total,Total,JRC
9227407,9227407,MY,2020-01-20,7.0,0.0,Active,Total,Total,JRC
