,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
3706560,3706560,MY,2020-01-01,C1,0.0,,,OxCGRT
3706561,3706561,MY,2020-01-01,C2,0.0,,,OxCGRT
3706562,3706562,MY,2020-01-01,C3,0.0,,,OxCGRT
3706563,3706563,MY,2020-01-01,C4,0.0,,,OxCGRT
3706564,3706564,MY,2020-01-01,C5,0.0,,,OxCGRT
3706565,3706565,MY,2020-01-01,C6,0.0,,,OxCGRT
3706566,3706566,MY,2020-01-01,C7,0.0,,,OxCGRT
3706567,3706567,MY,2020-01-01,C8,0.0,,,OxCGRT
3706568,3706568,MY,2020-01-01,Cases,,,,OxCGRT
3706569,3706569,MY,2020-01-01,Deaths,,,,OxCGRT
3706570,3706570,MY,2020-01-01,E1,0.0,,,OxCGRT
3706571,3706571,MY,2020-01-01,E2,0.0,,,OxCGRT
3706572,3706572,MY,2020-01-01,E3,0.0,,,OxCGRT
3706573,3706573,MY,2020-01-01,E4,0.0,,,OxCGRT
3706574,3706574,MY,2020-01-01,H1,0.0,,,OxCGRT
3706575,3706575,MY,2020-01-01,H2,0.0,,,OxCGRT
3706576,3706576,MY,2020-01-01,H3,0.0,,,OxCGRT
3706577,3706577,MY,2020-01-01,H4,0.0,,,OxCGRT
3706578,3706578,MY,2020-01-01,H5,0.0,,,OxCGRT
3706579,3706579,MY,2020-01-01,H6,0.0,,,OxCGRT
3706580,3706580,MY,2020-01-01,H7,0.0,,,OxCGRT
3706581,3706581,MY,2020-01-01,H8,0.0,,,OxCGRT
3706582,3706582,MY,2020-01-01,I1,0.0,,,OxCGRT
3706583,3706583,MY,2020-01-01,I1D,0.0,,,OxCGRT
3706584,3706584,MY,2020-01-01,I2,0.0,,,OxCGRT
3706585,3706585,MY,2020-01-01,I2D,0.0,,,OxCGRT
3706586,3706586,MY,2020-01-01,I3,0.0,,,OxCGRT
3706587,3706587,MY,2020-01-01,I3D,0.0,,,OxCGRT
3706588,3706588,MY,2020-01-01,I4,0.0,,,OxCGRT
3706589,3706589,MY,2020-01-01,I4D,0.0,,,OxCGRT
3706590,3706590,MY,2020-01-01,I4L,0.0,,,OxCGRT
3706591,3706591,MY,2020-01-01,I4LD,0.0,,,OxCGRT
3706592,3706592,MY,2020-01-01,M1,,,,OxCGRT
3706593,3706593,MY,2020-01-02,C1,0.0,,,OxCGRT
3706594,3706594,MY,2020-01-02,C2,0.0,,,OxCGRT
3706595,3706595,MY,2020-01-02,C3,0.0,,,OxCGRT
3706596,3706596,MY,2020-01-02,C4,0.0,,,OxCGRT
3706597,3706597,MY,2020-01-02,C5,0.0,,,OxCGRT
3706598,3706598,MY,2020-01-02,C6,0.0,,,OxCGRT
3706599,3706599,MY,2020-01-02,C7,0.0,,,OxCGRT
3706600,3706600,MY,2020-01-02,C8,0.0,,,OxCGRT
3706601,3706601,MY,2020-01-02,Cases,,,,OxCGRT
3706602,3706602,MY,2020-01-02,Deaths,,,,OxCGRT
3706603,3706603,MY,2020-01-02,E1,0.0,,,OxCGRT
3706604,3706604,MY,2020-01-02,E2,0.0,,,OxCGRT
3706605,3706605,MY,2020-01-02,E3,0.0,,,OxCGRT
3706606,3706606,MY,2020-01-02,E4,0.0,,,OxCGRT
3706607,3706607,MY,2020-01-02,H1,0.0,,,OxCGRT
3706608,3706608,MY,2020-01-02,H2,0.0,,,OxCGRT
3706609,3706609,MY,2020-01-02,H3,0.0,,,OxCGRT
3706610,3706610,MY,2020-01-02,H4,0.0,,,OxCGRT
3706611,3706611,MY,2020-01-02,H5,0.0,,,OxCGRT
3706612,3706612,MY,2020-01-02,H6,0.0,,,OxCGRT
3706613,3706613,MY,2020-01-02,H7,0.0,,,OxCGRT
3706614,3706614,MY,2020-01-02,H8,0.0,,,OxCGRT
3706615,3706615,MY,2020-01-02,I1,0.0,,,OxCGRT
3706616,3706616,MY,2020-01-02,I1D,0.0,,,OxCGRT
3706617,3706617,MY,2020-01-02,I2,0.0,,,OxCGRT
3706618,3706618,MY,2020-01-02,I2D,0.0,,,OxCGRT
3706619,3706619,MY,2020-01-02,I3,0.0,,,OxCGRT
3706620,3706620,MY,2020-01-02,I3D,0.0,,,OxCGRT
3706621,3706621,MY,2020-01-02,I4,0.0,,,OxCGRT
3706622,3706622,MY,2020-01-02,I4D,0.0,,,OxCGRT
3706623,3706623,MY,2020-01-02,I4L,0.0,,,OxCGRT
