,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
3822390,3822390,NL,2020-01-01,C1,0.0,,,OxCGRT
3822391,3822391,NL,2020-01-01,C2,0.0,,,OxCGRT
3822392,3822392,NL,2020-01-01,C3,0.0,,,OxCGRT
3822393,3822393,NL,2020-01-01,C4,0.0,,,OxCGRT
3822394,3822394,NL,2020-01-01,C5,0.0,,https://www.government.nl/topics/coronavirus-covid-19/tackling-new-coronavirus-in-the-netherlands,OxCGRT
3822395,3822395,NL,2020-01-01,C6,0.0,,,OxCGRT
3822396,3822396,NL,2020-01-01,C7,0.0,,,OxCGRT
3822397,3822397,NL,2020-01-01,C8,0.0,,,OxCGRT
3822398,3822398,NL,2020-01-01,Cases,,,,OxCGRT
3822399,3822399,NL,2020-01-01,Deaths,,,,OxCGRT
3822400,3822400,NL,2020-01-01,E1,0.0,,,OxCGRT
3822401,3822401,NL,2020-01-01,E2,0.0,,,OxCGRT
3822402,3822402,NL,2020-01-01,E3,0.0,,,OxCGRT
3822403,3822403,NL,2020-01-01,E4,0.0,,,OxCGRT
3822404,3822404,NL,2020-01-01,H1,0.0,,,OxCGRT
3822405,3822405,NL,2020-01-01,H2,0.0,,,OxCGRT
3822406,3822406,NL,2020-01-01,H3,0.0,,,OxCGRT
3822407,3822407,NL,2020-01-01,H4,0.0,,,OxCGRT
3822408,3822408,NL,2020-01-01,H5,0.0,,,OxCGRT
3822409,3822409,NL,2020-01-01,H6,0.0,,,OxCGRT
3822410,3822410,NL,2020-01-01,H7,0.0,,,OxCGRT
3822411,3822411,NL,2020-01-01,H8,0.0,,,OxCGRT
3822412,3822412,NL,2020-01-01,I1,0.0,,,OxCGRT
3822413,3822413,NL,2020-01-01,I1D,0.0,,,OxCGRT
3822414,3822414,NL,2020-01-01,I2,0.0,,,OxCGRT
3822415,3822415,NL,2020-01-01,I2D,0.0,,,OxCGRT
3822416,3822416,NL,2020-01-01,I3,0.0,,,OxCGRT
3822417,3822417,NL,2020-01-01,I3D,0.0,,,OxCGRT
3822418,3822418,NL,2020-01-01,I4,0.0,,,OxCGRT
