,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
4015440,4015440,PL,2020-01-01,C1,0.0,,,OxCGRT
4015441,4015441,PL,2020-01-01,C2,0.0,,,OxCGRT
4015442,4015442,PL,2020-01-01,C3,0.0,,,OxCGRT
4015443,4015443,PL,2020-01-01,C4,0.0,,,OxCGRT
4015444,4015444,PL,2020-01-01,C5,0.0,,,OxCGRT
4015445,4015445,PL,2020-01-01,C6,0.0,,,OxCGRT
4015446,4015446,PL,2020-01-01,C7,0.0,,,OxCGRT
4015447,4015447,PL,2020-01-01,C8,0.0,,,OxCGRT
4015448,4015448,PL,2020-01-01,Cases,,,,OxCGRT
4015449,4015449,PL,2020-01-01,Deaths,,,,OxCGRT
4015450,4015450,PL,2020-01-01,E1,0.0,,,OxCGRT
4015451,4015451,PL,2020-01-01,E2,0.0,,,OxCGRT
4015452,4015452,PL,2020-01-01,E3,0.0,,,OxCGRT
4015453,4015453,PL,2020-01-01,E4,0.0,,,OxCGRT
4015454,4015454,PL,2020-01-01,H1,0.0,,,OxCGRT
4015455,4015455,PL,2020-01-01,H2,0.0,,,OxCGRT
4015456,4015456,PL,2020-01-01,H3,0.0,,"Haven't been able to find any evidence of systematic contact tracing efforts; obviously individuals are reaching out on their own initative to those they may have been in contact with. The government has rolled out an app which uses phone location data in an effort to help enforce home quarantine, but no contact tracing apps yet    https://www.reuters.com/article/us-health-coronavirus-europe-tech-poland/in-europe-tech-battle-against-coronavirus-clashes-with-privacy-culture-idUSKBN21D1CC",OxCGRT
4015457,4015457,PL,2020-01-01,H4,0.0,,,OxCGRT
4015458,4015458,PL,2020-01-01,H5,0.0,,,OxCGRT
4015459,4015459,PL,2020-01-01,H6,0.0,,,OxCGRT
4015460,4015460,PL,2020-01-01,H7,0.0,,,OxCGRT
4015461,4015461,PL,2020-01-01,H8,0.0,,,OxCGRT
4015462,4015462,PL,2020-01-01,I1,0.0,,,OxCGRT
4015463,4015463,PL,2020-01-01,I1D,0.0,,,OxCGRT
4015464,4015464,PL,2020-01-01,I2,0.0,,,OxCGRT
4015465,4015465,PL,2020-01-01,I2D,0.0,,,OxCGRT
4015466,4015466,PL,2020-01-01,I3,0.0,,,OxCGRT
4015467,4015467,PL,2020-01-01,I3D,0.0,,,OxCGRT
